ID;Артикул;Наименование;Тип товара (код);Тип товара;Производитель;Цена с НДС;Цена по запросу;В наличии;Slug;SEO заголовок;SEO описание;Описание;Порядок;Кол-во фото;Создано
16;ENG-CAT-C13;Двигатель Caterpillar C13;engines;Двигатели;Caterpillar;2100000.00;нет;да;двигатель-caterpillar-c13-eng-cat-c13;;;;205;1;2026-06-18 18:06
14;ENG-CAT-C71;Двигатель Caterpillar C7.1;engines;Двигатели;Caterpillar;1180000.00;нет;да;двигатель-caterpillar-c71-eng-cat-c71;;;;203;1;2026-06-18 18:06
15;ENG-CAT-C93;Двигатель Caterpillar C9.3;engines;Двигатели;Caterpillar;1680000.00;нет;да;двигатель-caterpillar-c93-eng-cat-c93;;;;204;1;2026-06-18 18:06
11;ENG-CUM-ISF28;Двигатель Cummins ISF 2.8;engines;Двигатели;Cummins;485000.00;нет;да;двигатель-cummins-isf-28-eng-cum-isf28;;;;200;1;2026-06-18 18:06
12;ENG-CUM-QSB67;Двигатель Cummins QSB 6.7;engines;Двигатели;Cummins;920000.00;нет;да;двигатель-cummins-qsb-67-eng-cum-qsb67;;;;201;1;2026-06-18 18:06
13;ENG-CUM-QSL9;Двигатель Cummins QSL 9;engines;Двигатели;Cummins;1450000.00;нет;да;двигатель-cummins-qsl-9-eng-cum-qsl9;;;;202;1;2026-06-18 18:06
17;ENG-DEU-TCD22;Двигатель Deutz TCD 2.2 L3;engines;Двигатели;Deutz;560000.00;нет;да;двигатель-deutz-tcd-22-l3-eng-deu-tcd22;;;;206;1;2026-06-18 18:06
18;ENG-DEU-TCD61;Двигатель Deutz TCD 6.1 L6;engines;Двигатели;Deutz;980000.00;нет;да;двигатель-deutz-tcd-61-l6-eng-deu-tcd61;;;;207;1;2026-06-18 18:06
19;ENG-DEU-TCD78;Двигатель Deutz TCD 7.8 L6;engines;Двигатели;Deutz;1320000.00;нет;да;двигатель-deutz-tcd-78-l6-eng-deu-tcd78;;;;208;1;2026-06-18 18:06
22;ENG-KOM-SAA6D107;Двигатель Komatsu SAA6D107E;engines;Двигатели;Komatsu;1350000.00;нет;да;двигатель-komatsu-saa6d107e-eng-kom-saa6d107;;;;211;1;2026-06-19 08:20
23;ENG-KOM-SAA6D125;Двигатель Komatsu SAA6D125E;engines;Двигатели;Komatsu;1580000.00;нет;да;двигатель-komatsu-saa6d125e-eng-kom-saa6d125;;;;212;1;2026-06-19 08:20
24;ENG-MTU-1000;Двигатель MTU Series 1000;engines;Двигатели;MTU;2450000.00;нет;да;двигатель-mtu-series-1000-eng-mtu-1000;;;;213;1;2026-06-19 08:20
25;ENG-MTU-1500;Двигатель MTU Series 1500;engines;Двигатели;MTU;3100000.00;нет;да;двигатель-mtu-series-1500-eng-mtu-1500;;;;214;1;2026-06-19 08:20
26;ENG-PER-1104C44;Двигатель Perkins 1104C-44TA;engines;Двигатели;Perkins;620000.00;нет;да;двигатель-perkins-1104c-44ta-eng-per-1104c44;;;;215;1;2026-06-19 08:20
27;ENG-PER-1206F70;Двигатель Perkins 1206F-E70TTA;engines;Двигатели;Perkins;780000.00;нет;да;двигатель-perkins-1206f-e70tta-eng-per-1206f70;;;;216;1;2026-06-19 08:20
28;ENG-VOL-TAD650;Двигатель Volvo Penta TAD650VE;engines;Двигатели;Volvo Penta;1120000.00;нет;да;двигатель-volvo-penta-tad650ve-eng-vol-tad650;;;;217;1;2026-06-19 08:20
29;ENG-VOL-TAD881;Двигатель Volvo Penta TAD881VE;engines;Двигатели;Volvo Penta;1490000.00;нет;да;двигатель-volvo-penta-tad881ve-eng-vol-tad881;;;;218;1;2026-06-19 08:20
20;ENG-WEI-WP10;Двигатель Weichai WP10;engines;Двигатели;Weichai;740000.00;нет;да;двигатель-weichai-wp10-eng-wei-wp10;;;;209;1;2026-06-19 08:20
21;ENG-WEI-WP12;Двигатель Weichai WP12;engines;Двигатели;Weichai;890000.00;нет;да;двигатель-weichai-wp12-eng-wei-wp12;;;;210;1;2026-06-19 08:20
2;1R-0716;ФИЛЬТР МАСЛЯНЫЙ CAT;spare_parts;Запчасти;Caterpillar;4250.50;нет;да;фильтр-масляный-cat-1r-0716;;;Оригинал / сертифицированный аналог. Артикул 1R-0716. Уточняйте применимость по VIN и серийному номеру техники.;1;2;2026-05-15 23:38
1;2047330;9Y7573 ПЛАТА КРЕПЛЕНИЯ КОМПРЕССОРА CAT;spare_parts;Запчасти;Caterpillar;28600.00;нет;да;9y7573-плата-крепления-компрессора-cat-2047330;;;Оригинал / сертифицированный аналог. Артикул 2047330. Уточняйте применимость по VIN и серийному номеру техники.;0;2;2026-05-15 23:38
3;4038597;ТУРБОКОМПРЕССОР CUMMINS HE351;spare_parts;Запчасти;Cummins;125900.00;нет;нет;турбокомпрессор-cummins-he351-4038597;;;Оригинал / сертифицированный аналог. Артикул 4038597. Уточняйте применимость по VIN и серийному номеру техники.;2;2;2026-05-15 23:38
4;04259547;ВОДЯНОЙ НАСОС DEUTZ 1013;spare_parts;Запчасти;Deutz;18900.00;нет;да;водяной-насос-deutz-1013-04259547;;;Оригинал / сертифицированный аналог. Артикул 04259547. Уточняйте применимость по VIN и серийному номеру техники.;3;2;2026-05-15 23:38
